record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
IMR-3002100010-199801,imports:3002.10.00.10:1998-01,imports,3002.10.00.10,"Antisera & o blood fractions, human origin, for diagnostic use",199801,201612,3166447761,IM-3002101010-198801,3002.10.10.10,198801,3,3,5,3002.10.00.10;3002.10.10.10;3002.12.00.11
IMR-3002100021-199801,imports:3002.10.00.21:1998-01,imports,3002.10.00.21,"Blood plasma, for therapeutic or prophylactic use in humans",199801,201612,1761536873,IM-3002101021-198801,3002.10.10.21,198801,3,3,6,3002.10.00.21;3002.10.10.21;3002.12.00.12
IMR-3002100022-199801,imports:3002.10.00.22:1998-01,imports,3002.10.00.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",199801,201612,2414301,IM-3002101022-198801,3002.10.10.22,198801,7,7,7,3002.10.00.22;3002.10.00.29;3002.10.00.30;3002.10.10.22;3002.10.10.29;3002.10.10.90;3002.12.00.19
IMR-3002100023-199801,imports:3002.10.00.23:1998-01,imports,3002.10.00.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",199801,201612,1415737704,IM-3002101023-199001,3002.10.10.23,199001,3,3,79,3002.10.00.23;3002.10.10.23;3002.12.00.13
IMR-3002100029-199801,imports:3002.10.00.29:1998-01,imports,3002.10.00.29,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",199801,201612,5754885877,IM-3002101022-198801,3002.10.10.22,198801,7,7,7,3002.10.00.22;3002.10.00.29;3002.10.00.30;3002.10.10.22;3002.10.10.29;3002.10.10.90;3002.12.00.19
IMR-3002100030-199801,imports:3002.10.00.30:1998-01,imports,3002.10.00.30,"Antisera & o blood fractions, of human origin, for other uses",199801,200112,123292770,IM-3002101022-198801,3002.10.10.22,198801,7,7,7,3002.10.00.22;3002.10.00.29;3002.10.00.30;3002.10.10.22;3002.10.10.29;3002.10.10.90;3002.12.00.19
IMR-3002100030-200201,imports:3002.10.00.30:2002-01,imports,3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",200201,201612,977162690,IM-3002101022-198801,3002.10.10.22,198801,7,7,7,3002.10.00.22;3002.10.00.29;3002.10.00.30;3002.10.10.22;3002.10.10.29;3002.10.10.90;3002.12.00.19
IMR-3002100041-199801,imports:3002.10.00.41:1998-01,imports,3002.10.00.41,"Bovine albumin, for parenteral administration in humans",199801,201612,27309966,IM-3002102110-198801,3002.10.21.10,198801,9,9,8,3002.10.00.41;3002.10.00.42;3002.10.00.49;3002.10.00.51;3002.10.21.10;3002.10.21.20;3002.10.21.90;3002.10.29.10;3002.12.00.21
IMR-3002100042-199801,imports:3002.10.00.42:1998-01,imports,3002.10.00.42,"Sera and antisera, of animal origin, for parenteral administration in humans",199801,201612,70394543,IM-3002102110-198801,3002.10.21.10,198801,9,9,8,3002.10.00.41;3002.10.00.42;3002.10.00.49;3002.10.00.51;3002.10.21.10;3002.10.21.20;3002.10.21.90;3002.10.29.10;3002.12.00.21
IMR-3002100049-199801,imports:3002.10.00.49:1998-01,imports,3002.10.00.49,"Blood albumin nes, of animal origin, for parenteral administration in humans",199801,200112,23176990,IM-3002102110-198801,3002.10.21.10,198801,9,9,8,3002.10.00.41;3002.10.00.42;3002.10.00.49;3002.10.00.51;3002.10.21.10;3002.10.21.20;3002.10.21.90;3002.10.29.10;3002.12.00.21
IMR-3002100049-200201,imports:3002.10.00.49:2002-01,imports,3002.10.00.49,"Blood albumin, nes, of animal origin, for parenteral administration in humans",200201,201612,112444064,IM-3002102110-198801,3002.10.21.10,198801,9,9,8,3002.10.00.41;3002.10.00.42;3002.10.00.49;3002.10.00.51;3002.10.21.10;3002.10.21.20;3002.10.21.90;3002.10.29.10;3002.12.00.21
IMR-3002100051-199801,imports:3002.10.00.51:1998-01,imports,3002.10.00.51,"Blood fractions, nes, for use in humans",199801,201612,565555590,IM-3002102110-198801,3002.10.21.10,198801,9,9,8,3002.10.00.41;3002.10.00.42;3002.10.00.49;3002.10.00.51;3002.10.21.10;3002.10.21.20;3002.10.21.90;3002.10.29.10;3002.12.00.21
IMR-3002100059-199801,imports:3002.10.00.59:1998-01,imports,3002.10.00.59,"Blood fractions, nes",199801,201612,1723388665,IM-3002102920-198801,3002.10.29.20,198801,4,4,9,3002.10.00.59;3002.10.29.20;3002.10.29.90;3002.12.00.29
IMR-3002100060-200302,imports:3002.10.00.60:2003-02,imports,3002.10.00.60,Modified immunological products,200302,201112,1580200084,IM-3002901020-198801,3002.90.10.20,198801,13,13,14,3002.10.00.60;3002.10.00.90;3002.19.00.00;3002.90.00.20;3002.90.00.90;3002.90.00.91;3002.90.00.93;3002.90.00.99;3002.90.10.20;3002.90.10.30;3002.90.90.10;3002.90.90.30;3002.90.90.90
IMR-3002100090-201201,imports:3002.10.00.90:2012-01,imports,3002.10.00.90,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",201201,201612,7588057599,IM-3002901020-198801,3002.90.10.20,198801,13,13,14,3002.10.00.60;3002.10.00.90;3002.19.00.00;3002.90.00.20;3002.90.00.90;3002.90.00.91;3002.90.00.93;3002.90.00.99;3002.90.10.20;3002.90.10.30;3002.90.90.10;3002.90.90.30;3002.90.90.90
IMR-3002101010-198801,imports:3002.10.10.10:1988-01,imports,3002.10.10.10,"Antisera & o blood fractions, human origin, for diagnostic use",198801,199712,101722161,IM-3002101010-198801,3002.10.10.10,198801,3,3,5,3002.10.00.10;3002.10.10.10;3002.12.00.11
IMR-3002101021-198801,imports:3002.10.10.21:1988-01,imports,3002.10.10.21,"Blood plasma, for therapeutic or prophylactic use in humans",198801,199712,80754016,IM-3002101021-198801,3002.10.10.21,198801,3,3,6,3002.10.00.21;3002.10.10.21;3002.12.00.12
IMR-3002101022-198801,imports:3002.10.10.22:1988-01,imports,3002.10.10.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",198801,199712,19609749,IM-3002101022-198801,3002.10.10.22,198801,7,7,7,3002.10.00.22;3002.10.00.29;3002.10.00.30;3002.10.10.22;3002.10.10.29;3002.10.10.90;3002.12.00.19
IMR-3002101023-199001,imports:3002.10.10.23:1990-01,imports,3002.10.10.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",199001,199712,24552889,IM-3002101023-199001,3002.10.10.23,199001,3,3,79,3002.10.00.23;3002.10.10.23;3002.12.00.13
IMR-3002101029-198801,imports:3002.10.10.29:1988-01,imports,3002.10.10.29,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",198801,199712,377806210,IM-3002101022-198801,3002.10.10.22,198801,7,7,7,3002.10.00.22;3002.10.00.29;3002.10.00.30;3002.10.10.22;3002.10.10.29;3002.10.10.90;3002.12.00.19
IMR-3002101090-198801,imports:3002.10.10.90:1988-01,imports,3002.10.10.90,"Antisera & o blood fractions, of human origin, for other uses",198801,199712,70111731,IM-3002101022-198801,3002.10.10.22,198801,7,7,7,3002.10.00.22;3002.10.00.29;3002.10.00.30;3002.10.10.22;3002.10.10.29;3002.10.10.90;3002.12.00.19
IMR-3002102110-198801,imports:3002.10.21.10:1988-01,imports,3002.10.21.10,"Bovine albumin, for parenteral administration in humans",198801,199712,27900542,IM-3002102110-198801,3002.10.21.10,198801,9,9,8,3002.10.00.41;3002.10.00.42;3002.10.00.49;3002.10.00.51;3002.10.21.10;3002.10.21.20;3002.10.21.90;3002.10.29.10;3002.12.00.21
